,sample,corr_alk mol/kg
109,AMS_TFCP3_C12_POST1_20190704,2294.093807
110,AMS_TFCP3_C12_POST3_20190706,2261.864979
111,AMS_TFCP3_C12_POST5_20190708,2335.94708
112,AMS_TFCP3_C12_PRE0_20190703,2273.016475
113,AMS_TFCP3_C12_PRE2_20190705,2253.154756
114,AMS_TFCP3_C12_PRE4_20190707,2279.727466
115,AMS_TFCP3_C13_POST1_20190704,2213.421273
116,AMS_TFCP3_C13_POST3_20190706,2237.522569
117,AMS_TFCP3_C13_POST5_20190708,2279.345703
118,AMS_TFCP3_C13_PRE0_20190703,2210.146149
119,AMS_TFCP3_C13_PRE2_20190705,2236.889646
120,AMS_TFCP3_C13_PRE4_20190707,2254.48088
121,AMS_TFCP3_C14_POST1_20190704,2354.954855
122,AMS_TFCP3_C14_POST3_20190706,2282.75143
123,AMS_TFCP3_C14_POST5_20190708,2373.118733
124,AMS_TFCP3_C14_PRE0_20190703,2260.689551
125,AMS_TFCP3_C14_PRE2_20190705,2212.075056
126,AMS_TFCP3_C14_PRE4_20190707,2295.068307
127,AMS_TFCP3_D01_POST1_20190705,2251.489053
128,AMS_TFCP3_D01_POST3_20190707,2275.624016
129,AMS_TFCP3_D01_POST5_20190709,2271.687107
130,AMS_TFCP3_D01_PRE0_20190704,2229.760537
131,AMS_TFCP3_D01_PRE2_20190706,2256.030091
132,AMS_TFCP3_D01_PRE4_20190708,2187.72321
133,AMS_TFCP3_D02_POST1_20190705,2343.991311
134,AMS_TFCP3_D02_POST3_20190707,2319.312631
135,AMS_TFCP3_D02_POST5_20190709,2342.007753
136,AMS_TFCP3_D02_PRE0_20190704,2278.382873
137,AMS_TFCP3_D02_PRE2_20190706,2283.336733
138,AMS_TFCP3_D02_PRE4_20190708,2288.280524
139,AMS_TFCP3_D03_POST1_20190705,2217.285268
140,AMS_TFCP3_D03_POST3_20190707,2251.619947
141,AMS_TFCP3_D03_POST5_20190709,2216.84224
142,AMS_TFCP3_D03_PRE0_20190704,2222.913739
143,AMS_TFCP3_D03_PRE2_20190706,2252.969169
144,AMS_TFCP3_D03_PRE4_20190708,2252.777862
